group,order,x,y,NAME,CityType,Pop2010,Land_sqmi,oz_name
1,284,-117.7618523,33.82886696,Anaheim,City,336265,49.84000015,ANAHEIM
1,285,-117.7625751,33.82887077,Anaheim,City,336265,49.84000015,ANAHEIM
1,286,-117.7629223,33.82932854,Anaheim,City,336265,49.84000015,ANAHEIM
1,287,-117.7620258,33.83006096,Anaheim,City,336265,49.84000015,ANAHEIM
1,288,-117.7623825,33.83036232,Anaheim,City,336265,49.84000015,ANAHEIM
1,289,-117.7620907,33.83115196,Anaheim,City,336265,49.84000015,ANAHEIM
1,290,-117.7614708,33.83180809,Anaheim,City,336265,49.84000015,ANAHEIM
1,291,-117.7629318,33.83411217,Anaheim,City,336265,49.84000015,ANAHEIM
1,292,-117.7651844,33.83461189,Anaheim,City,336265,49.84000015,ANAHEIM
1,293,-117.7652531,33.83443642,Anaheim,City,336265,49.84000015,ANAHEIM
1,294,-117.7656956,33.83443642,Anaheim,City,336265,49.84000015,ANAHEIM
1,295,-117.7657108,33.83377647,Anaheim,City,336265,49.84000015,ANAHEIM
1,296,-117.7676048,33.83271599,Anaheim,City,336265,49.84000015,ANAHEIM
1,297,-117.7684422,33.83270073,Anaheim,City,336265,49.84000015,ANAHEIM
1,298,-117.7689285,33.83296394,Anaheim,City,336265,49.84000015,ANAHEIM
1,299,-117.7707291,33.83233833,Anaheim,City,336265,49.84000015,ANAHEIM
1,300,-117.7724686,33.8325634,Anaheim,City,336265,49.84000015,ANAHEIM
1,301,-117.7733669,33.83225441,Anaheim,City,336265,49.84000015,ANAHEIM
1,302,-117.7753963,33.83087349,Anaheim,City,336265,49.84000015,ANAHEIM
1,303,-117.7763138,33.83080483,Anaheim,City,336265,49.84000015,ANAHEIM
1,304,-117.7777672,33.83147621,Anaheim,City,336265,49.84000015,ANAHEIM
1,305,-117.7785263,33.83090019,Anaheim,City,336265,49.84000015,ANAHEIM
1,306,-117.7788429,33.83107567,Anaheim,City,336265,49.84000015,ANAHEIM
1,307,-117.7789078,33.83182335,Anaheim,City,336265,49.84000015,ANAHEIM
1,308,-117.779232,33.83223152,Anaheim,City,336265,49.84000015,ANAHEIM
1,309,-117.7809887,33.8325634,Anaheim,City,336265,49.84000015,ANAHEIM
1,310,-117.7835274,33.83260155,Anaheim,City,336265,49.84000015,ANAHEIM
1,311,-117.783556,33.83423042,Anaheim,City,336265,49.84000015,ANAHEIM
1,312,-117.786356,33.83429146,Anaheim,City,336265,49.84000015,ANAHEIM
1,313,-117.7886448,33.83514214,Anaheim,City,336265,49.84000015,ANAHEIM
1,314,-117.7924957,33.83514976,Anaheim,City,336265,49.84000015,ANAHEIM
1,315,-117.792738,33.83619118,Anaheim,City,336265,49.84000015,ANAHEIM
1,316,-117.795126,33.83554268,Anaheim,City,336265,49.84000015,ANAHEIM
1,317,-117.7967014,33.83628654,Anaheim,City,336265,49.84000015,ANAHEIM
1,318,-117.7993412,33.83623695,Anaheim,City,336265,49.84000015,ANAHEIM
1,319,-117.8006001,33.83744621,Anaheim,City,336265,49.84000015,ANAHEIM
1,320,-117.8005905,33.83812523,Anaheim,City,336265,49.84000015,ANAHEIM
1,321,-117.8016911,33.83873558,Anaheim,City,336265,49.84000015,ANAHEIM
1,322,-117.8031712,33.83855247,Anaheim,City,336265,49.84000015,ANAHEIM
1,323,-117.8049755,33.83764839,Anaheim,City,336265,49.84000015,ANAHEIM
1,324,-117.8060951,33.83829308,Anaheim,City,336265,49.84000015,ANAHEIM
1,325,-117.8063774,33.83881187,Anaheim,City,336265,49.84000015,ANAHEIM
1,326,-117.8067188,33.8387928,Anaheim,City,336265,49.84000015,ANAHEIM
1,327,-117.8076611,33.83785057,Anaheim,City,336265,49.84000015,ANAHEIM
